label,elapsed_ms
001,3.138
002,4.970
003,2.742
004,2.047
005,1.908
006,2.935
007,1.598
008,0.245
009,0.173
010,0.215
011,0.218
012,0.305
013,0.322
014,2.702
015,0.239
016,2.562
017,0.363
018,0.264
019,3.935
020,2.697
021,4.752
022,0.399
023,3.029
024,0.395
025,2.940
026,1.606
027,0.439
028,0.220
029,3.125
030,0.333
031,2.917
032,0.333
033,4.512
034,0.341
035,0.247
036,0.193
037,0.258
038,0.126
039,0.175
040,3.785
041,2.692
042,0.195
043,0.141
044,0.103
045,0.536
046,0.183
047,2.615
048,2.618
049,0.312
050,0.366
051,0.181
052,0.140
053,0.107
054,0.099
055,0.216
056,0.185
057,0.122
058,2.792
059,0.259
060,0.396
061,0.167
062,0.193
063,2.493
064,0.328
065,0.194
066,0.233
067,0.176
068,0.260
069,0.314
070,0.311
071,0.236
072,0.135
073,2.592
074,4.173
075,0.331
076,0.249
077,2.494
078,2.412
079,0.297
080,0.288
081,0.250
082,0.286
083,0.248
084,2.785
085,0.453
086,0.245
087,2.443
088,0.175
089,0.131
090,0.364
091,0.277
092,0.131
093,0.103
094,2.447
095,0.327
096,3.338
097,0.329
098,0.389
099,2.790
100,2.627
